OBJECTID,REGION_NAME,ROUTE_NAME,ROUTE_CODE,MDU_NAME,MDU_CODE,TME_NAME,TME_CODE,TSM_NAME,TSM_CODE,SHAPE_Length,SHAPE_Area
"245",,,,,,,,NON NETWORK RAIL SOU,XF,933.363013214969,10131.7839824554
"246",Southern,Kent,HK,Lon Bridge MDU,HK4,TME London Bridge,HK4027,TSM London Bridge,HK402701,66422.5762431389,34262467.9780871
"247",,,,,,,,SE TRAINS,HK699903,1638.35711370207,29876.0457196616
"248",,,,,,,,NON NETWORK RAIL ANG,XH,376.888629281666,1882.09585599001
"249",,,,,,,,NON NETWORK RAIL ANG,XH,341.171371263888,1454.14687997463
"250",,,,,,,,NON NETWORK RAIL SOU,XF,971.75070637925,10350.7705042559
"251",,,,,,,,SE TRAINS,HK699903,2304.69715704952,8638.51898928387
"252",Eastern,Anglia,HT,Romford MDU,HT6,TME Barking,HT6037,TSM Leigh-on-Sea,HT603701,148650.604206018,204135361.390336
"253",,,,,,,,NON NETWORK RAIL EC,XE,1385.17557661445,27164.1953052224
"254",,,,,,,,NON NETWORK RAIL EC,XE,1624.78477260287,12120.5049615555
"255",,,,,,,,NON NETWORK RAIL NE,XB,3033.41493364757,39365.6666764278
"256",,,,,,,,NON NETWORK RAIL NE,XB,2763.73619906865,13062.4154589494
"257",,,,,,,,NON NETWORK RAIL ANG,XH,404.683530605983,2966.42182586975
"258",,,,,,,,NON NETWORK RAIL ANG,XH,462.573921182792,943.571088421495
"259",,,,,,,,NON NETWORK RAIL ANG,XH,912.877398333175,4391.88051518419
"260",Eastern,Anglia,HT,Ipswich MDU,HT7,TME Norwich,HT7003,TSM Lowestoft,HT700360,541852.946889428,1614488799.52878
"261",,,,,,,,E W and S RAILWAY,DE,1854.66310721374,24770.9954540423
"262",Wales & Western,Western,HD,Western West MDU,HD8,TME Plymouth,HD8075,TSM Tavi Junction,HD807583,480797.693337469,1680150463.50617
"263",,,,,,,,NON NETWORK RAIL WAL,XU,758.858866174179,3426.68346329359
"264",,,,,,,,NON NETWORK RAIL SCZ,XK,911.483031476693,1122.69585582179
"265",Scotland,Scotland,HL,Motherwell MDU,HL4,TME Irvine,HL4004,TSM Paisley,HL400405,102822.782428021,436018954.13118
"266",,,,,,,,NON NETWORK RAIL SCZ,XK,889.027690063454,15468.4125550659
"267",Scotland,Scotland,HL,Perth MDU,HL2,TME Inverness,HL2004,TSM Dingwall,HL200402,689511.2111895,4119702804.41895
"268",Wales & Western,Wales,HC,Cardiff MDU,HC6,TME Swansea,HC6030,TSM Port Talbot,HC603010,133089.545230475,426057686.142831
"269",,,,,,,,NON NETWORK RAIL WAL,XU,4616.93831515834,36178.3822522994
"270",Wales & Western,Wales,HC,Cardiff MDU,HC6,TME Newport,HC6025,TSM Newport,HC602502,255071.418004726,618335900.362985
"271",,,,,,,,NON NETWORK RAIL LNWN,XG,2064.31329614077,54405.8792866244
"272",,,,,,,,NON NETWORK RAIL LNWN,XG,976.546955526757,3399.72963478508
"273",,,,,,,,NON NETWORK RAIL SCZ,XK,1567.10411698825,20494.493424827
